ttm,logm,put,call,name,iv,w,quote_date,expiry,m
0.0096,-1.204,5.918015551404082e-9,NA,bates,2.4428919801071944,0.05729012377413167,2019-01-01,2019-01-05,0.2999918414087205
0.0096,-0.9163,5.883909064980648e-9,NA,bates,1.8671806103935868,0.033469088945565766,2019-01-01,2019-01-05,0.3999962927668416
0.0096,-0.5108,4.036668850126908e-8,NA,bates,1.1382849077167012,0.01243864829890194,2019-01-01,2019-01-05,0.6000153744565693
0.0096,-0.2231,7.919298061802295e-6,NA,bates,0.6914897593249429,0.004590317637612168,2019-01-01,2019-01-05,0.8000348418100656
0.0096,-0.1054,3.2581201328938274e-5,NA,bates,0.3910471191168707,0.0014680113539481986,2019-01-01,2019-01-05,0.8999644647935904
0.0096,-0.0513,5.756934678257001e-5,NA,bates,0.21857394466833907,4.586358651636302e-4,2019-01-01,2019-01-05,0.9499936296895315
0.0096,-0.0253,2.1284040022858292e-4,NA,bates,0.145340241040494,2.027883423908054e-4,2019-01-01,2019-01-05,0.9750173629392817
0.0096,0,0.0038496619265418527,NA,bates,0.09848692876502788,9.311688132064967e-5,2019-01-01,2019-01-05,1
0.0096,0.0247,0.0250359115269506,NA,bates,0.10503613313896876,1.0591285694195682e-4,2019-01-01,2019-01-05,1.0250075721228384
0.0096,0.0488,0.050032120738603615,NA,bates,0.18645328369137382,3.337423391932408e-4,2019-01-01,2019-01-05,1.050010327672887
0.0096,0.0953,0.1000016746200558,NA,bates,0.3245266052305599,0.0010110481680237278,2019-01-01,2019-01-05,1.0999888022722382
0.0096,0.1823,0.1999781224817532,NA,bates,0.5380856894290664,0.0027795476080161954,2019-01-01,2019-01-05,1.1999741321260697
0.0096,0.2624,0.3000475389233258,NA,bates,0.6961281404300074,0.004652106123825984,2019-01-01,2019-01-05,1.30004645702234
0.0096,0.4055,0.500052403268916,NA,bates,0.9129339523157003,0.008001104652391346,2019-01-01,2019-01-05,1.500052338750847
0.0096,0.5596,0.7499723792127312,NA,bates,1.142163952642535,0.01252356954927378,2019-01-01,2019-01-05,1.7499723713311106
0.0096,0.6931,0.9999056478872285,NA,bates,1.3932183430373788,0.018634150573207865,2019-01-01,2019-01-05,1.9999056411060796
0.0096,0.9163,1.5000231770877877,NA,bates,1.8162130068763003,0.031666844988927856,2019-01-01,2019-01-05,2.5000231704219855
0.0096,1.0986,1.999963140850699,NA,bates,2.1572818652814316,0.04467710444421247,2019-01-01,2019-01-05,2.9999631342221873
0.0192,-1.204,6.029871841474625e-9,NA,bates,1.7285375624444719,0.05736656841180434,2019-01-01,2019-01-08,0.2999918414087205
0.0192,-0.9163,6.010389989564735e-9,NA,bates,1.3213040444980981,0.03352021205773501,2019-01-01,2019-01-08,0.3999962927668416
0.0192,-0.5108,7.885772683172058e-8,NA,bates,0.8285074267860908,0.013179351479802422,2019-01-01,2019-01-08,0.6000153744565693
0.0192,-0.2231,1.5961707958060212e-5,NA,bates,0.5162485566584368,0.0051170413872368495,2019-01-01,2019-01-08,0.8000348418100656
0.0192,-0.1054,6.608820520056733e-5,NA,bates,0.2977353353308153,0.0017020095341674182,2019-01-01,2019-01-08,0.8999644647935904
0.0192,-0.0513,1.9325474387640686e-4,NA,bates,0.18242921494671405,6.389840345486283e-4,2019-01-01,2019-01-08,0.9499936296895315
0.0192,-0.0253,8.577229424897211e-4,NA,bates,0.1397166265327891,3.7479812601029505e-4,2019-01-01,2019-01-08,0.9750173629392817
0.0192,0,0.0052983804277017725,NA,bates,0.09584857255538691,1.7638941812938116e-4,2019-01-01,2019-01-08,1
0.0192,0.0247,0.02508508405125693,NA,bates,0.08496314820301465,1.3859974180929467e-4,2019-01-01,2019-01-08,1.0250075721228384
0.0192,0.0488,0.05005411744162558,NA,bates,0.14231531370294476,3.888700514758574e-4,2019-01-01,2019-01-08,1.050010327672887
0.0192,0.0953,0.100014695443733,NA,bates,0.24450576059293605,0.001147834885692099,2019-01-01,2019-01-08,1.0999888022722382
0.0192,0.1823,0.19998218370818485,NA,bates,0.4000025583268741,0.0030720392960264507,2019-01-01,2019-01-08,1.1999741321260697
0.0192,0.2624,0.30004864438099477,NA,bates,0.5131678074926713,0.005056151014019238,2019-01-01,2019-01-08,1.30004645702234
0.0192,0.4055,0.5000524637242233,NA,bates,0.6645906625162946,0.008480270375113869,2019-01-01,2019-01-08,1.500052338750847
0.0192,0.5596,0.7499723802818249,NA,bates,0.8113496082462669,0.012639133186586318,2019-01-01,2019-01-08,1.7499723713311106
0.0192,0.6931,0.9999056478474792,NA,bates,0.9849516160984998,0.018626489972256893,2019-01-01,2019-01-08,1.9999056411060796
0.0192,0.9163,1.5000231770466452,NA,bates,1.2839854685821852,0.0316534787237801,2019-01-01,2019-01-08,2.5000231704219855
0.0192,1.0986,1.9999631408202239,NA,bates,1.52519299606673,0.04466330256481936,2019-01-01,2019-01-08,2.9999631342221873
0.0385,-1.204,6.271253694082591e-9,NA,bates,1.2223826484422209,0.0575274445596858,2019-01-01,2019-01-15,0.2999918414087205
0.0385,-0.9163,6.282159717699777e-9,NA,bates,0.9345739014352352,0.03362699252388925,2019-01-01,2019-01-15,0.3999962927668416
0.0385,-0.5108,1.7076707039329047e-7,NA,bates,0.6061168390025349,0.014144038467113354,2019-01-01,2019-01-15,0.6000153744565693
0.0385,-0.2231,3.2716016889810124e-5,NA,bates,0.38751591152382225,0.005781490394839345,2019-01-01,2019-01-15,0.8000348418100656
0.0385,-0.1054,1.7918794671391115e-4,NA,bates,0.23720038060214996,0.002166164791475485,2019-01-01,2019-01-15,0.8999644647935904
0.0385,-0.0513,8.381882672997581e-4,NA,bates,0.16848204458119867,0.0010928686748310492,2019-01-01,2019-01-15,0.9499936296895315
0.0385,-0.0253,0.0023477163879331822,NA,bates,0.1345076635547193,6.965539948655581e-4,2019-01-01,2019-01-15,0.9750173629392817
0.0385,0,0.007122991775348585,NA,bates,0.09099714801982109,3.187985164880373e-4,2019-01-01,2019-01-15,1
0.0385,0.0247,0.02531836907402424,NA,bates,0.07619573744686536,2.2352293059525817e-4,2019-01-01,2019-01-15,1.0250075721228384
0.0385,0.0488,0.050103295486011744,NA,bates,0.11035746554418004,4.6888265275139303e-4,2019-01-01,2019-01-15,1.050010327672887
0.0385,0.0953,0.10004133262189012,NA,bates,0.1854343944794699,0.0013238577142547548,2019-01-01,2019-01-15,1.0999888022722382
0.0385,0.1823,0.19999057056893702,NA,bates,0.2985872288943294,0.0034324418304635946,2019-01-01,2019-01-15,1.1999741321260697
0.0385,0.2624,0.3000509529007457,NA,bates,0.37941440274223526,0.005542278626817512,2019-01-01,2019-01-15,1.30004645702234
0.0385,0.4055,0.5000525938182673,NA,bates,0.4851460096534977,0.0090616160512844,2019-01-01,2019-01-15,1.500052338750847
0.0385,0.5596,0.7499723828206559,NA,bates,0.5782193700711364,0.012871999137130281,2019-01-01,2019-01-15,1.7499723713311106
0.0385,0.6931,0.9999056478028102,NA,bates,0.6953992482748352,0.018617834408296428,2019-01-01,2019-01-15,1.9999056411060796
0.0385,0.9163,1.500023176973895,NA,bates,0.9063938273371386,0.03162966615404236,2019-01-01,2019-01-15,2.5000231704219855
0.0385,1.0986,1.999963140766858,NA,bates,1.0767797041165061,0.04463899945109337,2019-01-01,2019-01-15,2.9999631342221873
0.0577,-1.204,6.45338771279137e-9,NA,bates,0.9995261381988865,0.057645329304398384,2019-01-01,2019-01-22,0.2999918414087205
0.0577,-0.9163,6.498823290096148e-9,NA,bates,0.7643406830472212,0.03370930242221505,2019-01-01,2019-01-22,0.3999962927668416
0.0577,-0.5108,2.9062305616199755e-7,NA,bates,0.5079695825847785,0.014888509687169134,2019-01-01,2019-01-22,0.6000153744565693
0.0577,-0.2231,5.379163394607837e-5,NA,bates,0.3314625250155683,0.006339349296755473,2019-01-01,2019-01-22,0.8000348418100656
0.0577,-0.1054,4.1967171623773995e-4,NA,bates,0.21900933124542657,0.00276758552985723,2019-01-01,2019-01-22,0.8999644647935904
0.0577,-0.0513,0.001683654093967854,NA,bates,0.1625901248456274,0.001525331159835174,2019-01-01,2019-01-22,0.9499936296895315
0.0577,-0.0253,0.003637139973261653,NA,bates,0.12995597454339952,9.744696419365755e-4,2019-01-01,2019-01-22,0.9750173629392817
0.0577,0,0.00839502952360803,NA,bates,0.08760568074485309,4.4283338073897844e-4,2019-01-01,2019-01-22,1
0.0577,0.0247,0.02565255232918478,NA,bates,0.0731733031776233,3.089449735902365e-4,2019-01-01,2019-01-22,1.0250075721228384
0.0577,0.0488,0.05017597764502661,NA,bates,0.09779094194140889,5.517890423979679e-4,2019-01-01,2019-01-22,1.050010327672887
0.0577,0.0953,0.10006856809091302,NA,bates,0.1586166351037467,0.0014516879709553473,2019-01-01,2019-01-22,1.0999888022722382
0.0577,0.1823,0.1999991868156574,NA,bates,0.25265261275065787,0.0036831838755056454,2019-01-01,2019-01-22,1.1999741321260697
0.0577,0.2624,0.30005335435859903,NA,bates,0.31905694792402783,0.005873706288272979,2019-01-01,2019-01-22,1.30004645702234
0.0577,0.4055,0.5000527338163525,NA,bates,0.40483516448436085,0.009456540150257688,2019-01-01,2019-01-22,1.500052338750847
0.0577,0.5596,0.7499723858849519,NA,bates,0.476485497855447,0.01310011739176012,2019-01-01,2019-01-22,1.7499723713311106
0.0577,0.6931,0.9999056478279527,NA,bates,0.5681114758188112,0.018622712444820496,2019-01-01,2019-01-22,1.9999056411060796
0.0577,0.9163,1.5000231769276355,NA,bates,0.7402094025981452,0.03161440467438436,2019-01-01,2019-01-22,2.5000231704219855
0.0577,1.0986,1.9999631407330867,NA,bates,0.8794153804548841,0.04462353043666111,2019-01-01,2019-01-22,2.9999631342221873
0.0833,-1.204,6.5694495517113665e-9,NA,bates,0.8324089561450848,0.05771895903353679,2019-01-01,2019-01-31,0.2999918414087205
