ttm,logm,put,call,name,iv,w,quote_date,expiry,m,train,w_hat,iv_hat,w_prior,iv_prior
0.0096,-1.204,5.9180155514040825e-09,,Data,2.4428919801071944,0.0572901237741316,2019-01-01,2019-01-05,0.2999918414087205,True,0.055157263,2.3969872,0.02351107,1.5649504371180152
0.0096,-0.9163,5.883909064980648e-09,,Data,1.8671806103935868,0.0334690889455657,2019-01-01,2019-01-05,0.3999962927668416,True,0.034209482,1.8877202,0.017910004,1.3658789776073599
0.0096,-0.5108,4.036668850126908e-08,,Data,1.1382849077167012,0.0124386482989019,2019-01-01,2019-01-05,0.6000153744565693,True,0.012763868,1.1530696,0.010015588,1.0214159011379995
0.0096,-0.2231,7.919298061802295e-06,,Data,0.6914897593249429,0.0045903176376121,2019-01-01,2019-01-05,0.8000348418100656,True,0.0045444714,0.6880279,0.0044146604,0.6781301182960799
0.0096,-0.1054,3.2581201328938274e-05,,Data,0.3910471191168707,0.0014680113539481,2019-01-01,2019-01-05,0.8999644647935904,True,0.0014231796,0.3850297,0.0021235177,0.47031878404172306
0.0096,-0.0513,5.756934678257001e-05,,Data,0.218573944668339,0.0004586358651636302,2019-01-01,2019-01-05,0.9499936296895316,True,0.00047231594,0.22180977,0.0010708508,0.333986458309454
0.0096,-0.0253,0.0002128404002285829,,Data,0.145340241040494,0.0002027883423908054,2019-01-01,2019-01-05,0.9750173629392817,True,0.00023911786,0.15782303,0.0005657603,0.24276195114948732
0.0096,0.0,0.0038496619265418,,Data,0.0984869287650278,9.311688132064969e-05,2019-01-01,2019-01-05,1.0,True,8.633777e-05,0.09483416,9.290942e-05,0.09837715304065897
0.0096,0.0247,0.0250359115269506,,Data,0.1050361331389687,0.00010591285694195682,2019-01-01,2019-01-05,1.0250075721228384,True,0.00019049422,0.1408657,0.00017325487,0.1343405459233688
0.0096,0.0488,0.0500321207386036,,Data,0.1864532836913738,0.0003337423391932408,2019-01-01,2019-01-05,1.050010327672887,True,0.00036718228,0.19557135,0.00031692238,0.18169410484515883
0.0096,0.0953,0.1000016746200558,,Data,0.3245266052305599,0.0010110481680237,2019-01-01,2019-01-05,1.0999888022722382,True,0.0009738592,0.31850222,0.00059611525,0.24918936265274622
0.0096,0.1823,0.1999781224817532,,Data,0.5380856894290664,0.0027795476080161,2019-01-01,2019-01-05,1.1999741321260695,True,0.0027497297,0.5351917,0.0011193723,0.3414693004897473
0.0096,0.2624,0.3000475389233258,,Data,0.6961281404300074,0.0046521061238259,2019-01-01,2019-01-05,1.30004645702234,True,0.0046192743,0.69366735,0.001601316,0.40841615250178315
0.0096,0.4055,0.500052403268916,,Data,0.9129339523157004,0.0080011046523913,2019-01-01,2019-01-05,1.500052338750847,True,0.007761091,0.8991368,0.0024624192,0.5064602665796534
0.0096,0.5596,0.7499723792127312,,Data,1.142163952642535,0.0125235695492737,2019-01-01,2019-01-05,1.7499723713311106,True,0.012659024,1.1483241,0.0033897636,0.594222500225064
0.0096,0.6931,0.9999056478872284,,Data,1.3932183430373788,0.0186341505732078,2019-01-01,2019-01-05,1.99990564110608,True,0.01845508,1.3865079,0.0041931556,0.6608986590748427
0.0096,0.9163,1.5000231770877877,,Data,1.8162130068763005,0.0316668449889278,2019-01-01,2019-01-05,2.500023170421985,True,0.030540615,1.7836238,0.005536368,0.7594109639451112
0.0096,1.0986,1.999963140850699,,Data,2.157281865281432,0.0446771044442124,2019-01-01,2019-01-05,2.9999631342221877,True,0.041272853,2.0734646,0.0066334517,0.831254804129823
0.0192,-1.204,6.029871841474625e-09,,Data,1.728537562444472,0.0573665684118043,2019-01-01,2019-01-08,0.2999918414087205,True,0.057977404,1.7377158,0.029181477,1.2328295004620922
0.0192,-0.9163,6.010389989564735e-09,,Data,1.321304044498098,0.033520212057735,2019-01-01,2019-01-08,0.3999962927668416,True,0.035893735,1.3672839,0.02224067,1.0762751738702623
0.0192,-0.5108,7.885772683172059e-08,,Data,0.8285074267860908,0.0131793514798024,2019-01-01,2019-01-08,0.6000153744565693,True,0.013523534,0.83925605,0.012458006,0.8055150371052895
0.0192,-0.2231,1.5961707958060212e-05,,Data,0.5162485566584368,0.0051170413872368,2019-01-01,2019-01-08,0.8000348418100656,True,0.0051852334,0.51967704,0.0055175885,0.5360731284982925
0.0192,-0.1054,6.608820520056733e-05,,Data,0.2977353353308153,0.0017020095341674,2019-01-01,2019-01-08,0.8999644647935904,True,0.0017247634,0.29971892,0.0026788877,0.37353098974522125
0.0192,-0.0513,0.0001932547438764069,,Data,0.182429214946714,0.0006389840345486283,2019-01-01,2019-01-08,0.9499936296895316,True,0.00060469215,0.17746657,0.0013753311,0.26764122807375523
0.0192,-0.0253,0.0008577229424897211,,Data,0.1397166265327891,0.0003747981260102951,2019-01-01,2019-01-08,0.9750173629392817,True,0.00041623792,0.14723809,0.0007510385,0.19777913941935113
0.0192,0.0,0.0052983804277017,,Data,0.0958485725553869,0.00017638941812938116,2019-01-01,2019-01-08,1.0,True,0.0001734215,0.09503878,0.00017600665,0.09574451996934871
